t_s,stiff_contact_force_n,impedance_contact_force_n,stiff_center_error_m,impedance_center_error_m
1.1029999999999893,55.99120426047919,36.51545600002965,0.0022447677294808784,0.0015232018777012028
1.1039999999999892,55.995212789839975,36.51364800889836,0.00224526841578819,0.0015235701558243206
1.104999999999989,56.00078354185123,36.51939117576494,0.0022453089081609936,0.001523553198067679
1.105999999999989,55.99359419573429,36.51283274126967,0.0022448926535832132,0.0015232029927272678
1.1069999999999889,55.993558929791504,36.51398054430001,0.002243988412922411,0.0015225191114928722
1.1079999999999888,55.99062056244227,36.51366049694101,0.0022434690826618744,0.0015223937152410206
1.1089999999999887,55.98234490030068,36.51059455626622,0.002243191974052473,0.0015225654895347834
1.1099999999999886,55.98616316048241,36.514170009330726,0.0022430439948393694,0.0015228443555976232
1.1109999999999884,55.985724002140834,36.515334214350666,0.002242834641970442,0.0015229994339949252
1.1119999999999883,55.97828526980952,36.51117259936828,0.002242636771995354,0.0015231240148497955
1.1129999999999882,55.977079503490536,36.51064072376869,0.0022420181996823485,0.0015227785641239952
1.113999999999988,55.97482060612707,36.51048176018667,0.0022417511295760657,0.0015227923107202224
1.114999999999988,55.97361220722262,36.511584337730994,0.002241561036760451,0.0015228273031521581
1.115999999999988,55.97285607161216,36.514991209746505,0.002241440028754921,0.0015228588696573782
1.1169999999999878,55.972095966347645,36.513427962112864,0.0022413029506559465,0.0015227996051958704
1.1179999999999877,55.97067151641651,36.51091414554849,0.002241173778824164,0.0015226849334578295
1.1189999999999876,55.96921973702819,36.5106146953785,0.002241427827753524,0.0015228955819308566
1.1199999999999875,55.96971270899236,36.509561716415234,0.0022417142834987676,0.0015230574463287818
1.1209999999999873,55.9689238596635,36.50871393373628,0.002242151872306514,0.0015233132259486002
1.1219999999999872,55.969052765515485,36.507599685748225,0.0022430805916029395,0.001524011817885507
1.1229999999999871,55.972928196013974,36.506622765645574,0.002243839085015153,0.001524445378928737
1.123999999999987,55.9719828459051,36.505549934715724,0.0022443113349940257,0.0015245856156841855
1.124999999999987,55.96968405530335,36.50454571024009,0.0022440711976313655,0.001524061550297088
1.1259999999999868,55.96401372667826,36.503253038316664,0.002244111216942558,0.001523934431595056
1.1269999999999867,55.963591272813524,36.50273104985199,0.0022439151895954483,0.0015236325333628314
1.1279999999999866,55.96689263705544,36.50618266542107,0.002243175687437908,0.0015228735016090777
1.1289999999999865,55.973950064533646,36.510361798684855,0.0022419900519517815,0.001521789499808885
1.1299999999999863,55.97688138454673,36.511284844579464,0.0022410173237540107,0.0015210559888942825
